id,user_id,event,ip_address,created_at,updated_at,is_fraud,fraud_likelihood
172,1,logout,127.0.0.1,2024-11-09 11:27:43,2024-11-09 11:27:43,0,1.10140133455003
173,2,login,127.0.0.1,2024-11-10 01:22:39,2024-11-10 01:22:39,0,0.0
174,2,logout,127.0.0.1,2024-11-10 02:08:24,2024-11-10 02:08:24,0,1.549139075839495
175,4,login,127.0.0.1,2024-11-10 02:09:37,2024-11-10 02:09:37,1,98.8051512570834
176,4,logout,127.0.0.1,2024-11-10 02:09:41,2024-11-10 02:09:41,0,0.9307277179858131
177,4,login,127.0.0.1,2024-11-10 02:09:50,2024-11-10 02:09:50,0,1.8143475274647067
178,4,logout,127.0.0.1,2024-11-10 02:09:54,2024-11-10 02:09:54,0,0.0
179,2,login,127.0.0.1,2024-11-10 02:10:03,2024-11-10 02:10:03,0,0.4880101465767219
180,1,login,127.0.0.1,2024-11-10 05:15:05,2024-11-10 05:15:05,0,1.2571299753726253
181,1,Viewed Document,127.0.0.1,2024-11-10 05:15:47,2024-11-10 05:15:47,0,1.1684471048707006
182,1,Updated Document,127.0.0.1,2024-11-10 05:16:08,2024-11-10 05:16:08,0,0.19365133625451536
183,2,login,127.0.0.1,2024-11-15 05:12:03,2024-11-15 05:12:03,1,98.89910607169016
184,2,login,127.0.0.1,2024-11-15 13:07:58,2024-11-15 13:07:58,1,99.32177506566624
185,5,login,127.0.0.1,2024-11-15 17:38:18,2024-11-15 17:38:18,0,0.0
186,5,login,127.0.0.1,2024-11-15 17:39:03,2024-11-15 17:39:03,0,0.0
187,6,login,127.0.0.1,2024-11-15 17:41:49,2024-11-15 17:41:49,0,1.2680519568986748
188,7,login,127.0.0.1,2024-11-15 18:09:24,2024-11-15 18:09:24,0,0.0
189,7,login,127.0.0.1,2024-11-16 01:58:00,2024-11-16 01:58:00,0,0.26053921496247057
190,7,login,127.0.0.1,2024-11-16 12:56:23,2024-11-16 12:56:23,0,0.11443688666459995
191,7,logout,127.0.0.1,2024-11-16 13:54:34,2024-11-16 13:54:34,0,0.8121710028660476
192,1,login,127.0.0.1,2024-11-16 13:54:44,2024-11-16 13:54:44,0,0.14523321259909894
193,1,Viewed Document,127.0.0.1,2024-11-16 13:58:25,2024-11-16 13:58:25,0,1.4786740058855088
194,1,logout,127.0.0.1,2024-11-16 14:00:40,2024-11-16 14:00:40,0,0.0
195,7,login,127.0.0.1,2024-11-16 14:55:44,2024-11-16 14:55:44,0,1.9750989170610493
196,7,logout,127.0.0.1,2024-11-16 15:09:44,2024-11-16 15:09:44,0,0.11936390257644414
197,8,login,127.0.0.1,2024-11-16 15:11:40,2024-11-16 15:11:40,0,1.7814866373091074
198,8,login,127.0.0.1,2024-11-17 02:06:12,2024-11-17 02:06:12,0,1.7638582495861068
199,7,login,127.0.0.1,2024-11-17 10:12:30,2024-11-17 10:12:30,0,1.4259185366974014
200,1,login,127.0.0.1,2024-11-17 10:13:25,2024-11-17 10:13:25,0,1.7685455708553928
201,1,Created Vehicle Reservation,127.0.0.1,2024-11-17 10:15:28,2024-11-17 10:15:28,0,0.0
202,7,login,127.0.0.1,2024-11-18 04:22:39,2024-11-18 04:22:39,0,0.0
203,7,logout,127.0.0.1,2024-11-18 04:27:38,2024-11-18 04:27:38,0,0.37032847686405335
204,7,login,127.0.0.1,2024-11-18 04:28:27,2024-11-18 04:28:27,0,0.0
205,7,logout,127.0.0.1,2024-11-18 05:40:07,2024-11-18 05:40:07,0,0.0
206,7,login,127.0.0.1,2024-11-18 06:30:25,2024-11-18 06:30:25,0,1.6512803088386794
207,7,logout,127.0.0.1,2024-11-18 07:04:48,2024-11-18 07:04:48,0,1.3275083731583734
208,4,login,127.0.0.1,2024-11-18 07:05:04,2024-11-18 07:05:04,0,0.0
209,4,logout,127.0.0.1,2024-11-18 07:05:54,2024-11-18 07:05:54,0,0.8482534802387951
210,1,login,127.0.0.1,2024-11-18 07:06:05,2024-11-18 07:06:05,0,0.8270474397619934
211,1,Created Document,127.0.0.1,2024-11-18 07:08:18,2024-11-18 07:08:18,0,0.0
212,1,Viewed Document,127.0.0.1,2024-11-18 07:09:02,2024-11-18 07:09:02,0,1.1736799431189255
213,1,Updated Document,127.0.0.1,2024-11-18 07:09:24,2024-11-18 07:09:24,0,0.0
214,1,logout,127.0.0.1,2024-11-18 07:11:32,2024-11-18 07:11:32,0,0.0
215,4,login,127.0.0.1,2024-11-18 07:11:42,2024-11-18 07:11:42,0,0.0
216,4,logout,127.0.0.1,2024-11-18 07:11:59,2024-11-18 07:11:59,0,0.0
217,1,login,127.0.0.1,2024-11-18 07:12:10,2024-11-18 07:12:10,1,100.0
218,1,Viewed Vehicle Reservation,127.0.0.1,2024-11-18 07:14:15,2024-11-18 07:14:15,0,0.0
219,1,Updated Vehicle Reservation,127.0.0.1,2024-11-18 07:14:44,2024-11-18 07:14:44,0,0.0
220,1,logout,127.0.0.1,2024-11-18 07:26:34,2024-11-18 07:26:34,0,0.0
221,7,login,127.0.0.1,2024-11-18 15:28:39,2024-11-18 15:28:39,0,1.332409121436116
222,7,logout,127.0.0.1,2024-11-18 15:42:43,2024-11-18 15:42:43,0,0.0
223,4,login,127.0.0.1,2024-11-18 15:43:24,2024-11-18 15:43:24,0,0.0
224,7,login,127.0.0.1,2024-11-19 01:48:53,2024-11-19 01:48:53,0,0.0
